Theocratic	Ancient Near East	# <h3>The Ancient Near East</h3>
Theocratic	Ancient Near East	Unknown	Gilgamesh
Theocratic	Ancient Near East	Unknown	Egyptian Book of the Dead
Theocratic	Ancient Near East	Unknown	Holy Bible    King James Version
Theocratic	Ancient Near East	Unknown	Sayings of the Fathers	Pirke Aboth
Theocratic	Ancient India	# <h3>Ancient India     (Sanskrit)</h3>
Theocratic	Ancient India	Unknown	Mahabharata
Theocratic	Ancient India	Unknown	Bhagavad-Gita
Theocratic	Ancient India	Unknown	Ramayana
Theocratic	Ancient Greeks	# <h3>The Ancient Greeks</h3>
Theocratic	Ancient Greeks	Homer	Iliad
Theocratic	Ancient Greeks	Homer	Odyssey
Theocratic	Ancient Greeks	Hesiod	Works and Days
Theocratic	Ancient Greeks	Hesiod	Theogony
Theocratic	Ancient Greeks	Pindar	Odes
Theocratic	Ancient Greeks	Aeschylus	Oresteia
Theocratic	Ancient Greeks	Aeschylus	Seven Against Thebes
Theocratic	Ancient Greeks	Aeschylus	Prometheus Bound
Theocratic	Ancient Greeks	Aeschylus	Persians
Theocratic	Ancient Greeks	Aeschylus	Suppliant Women
Theocratic	Ancient Greeks	Sophocles	Oedipus the King
Theocratic	Ancient Greeks	Sophocles	Oedipus at Colonus
Theocratic	Ancient Greeks	Sophocles	Antigone
Theocratic	Ancient Greeks	Sophocles	Electra
Theocratic	Ancient Greeks	Sophocles	Ajax
Theocratic	Ancient Greeks	Sophocles	Women of Trachis
Theocratic	Ancient Greeks	Sophocles	Philoctetes
Theocratic	Ancient Greeks	Euripides	Cyclops
Theocratic	Ancient Greeks	Euripides	Heracles
Theocratic	Ancient Greeks	Euripides	Alcestis
Theocratic	Ancient Greeks	Euripides	Hecuba
Theocratic	Ancient Greeks	Euripides	Bacchae
Theocratic	Ancient Greeks	Euripides	Orestes
Theocratic	Ancient Greeks	Euripides	Andromache
Theocratic	Ancient Greeks	Euripides	Medea
Theocratic	Ancient Greeks	Euripides	Ion
Theocratic	Ancient Greeks	Euripides	Hippolytus
Theocratic	Ancient Greeks	Euripides	Helen
Theocratic	Ancient Greeks	Euripides	Iphigenia at Aulis
Theocratic	Ancient Greeks	Aristophanes	The Birds
Theocratic	Ancient Greeks	Aristophanes	The Clouds
Theocratic	Ancient Greeks	Aristophanes	The Frogs
Theocratic	Ancient Greeks	Aristophanes	Lysistrata
Theocratic	Ancient Greeks	Aristophanes	The Knights
Theocratic	Ancient Greeks	Aristophanes	The Wasps
Theocratic	Ancient Greeks	Aristophanes	The Assemblywomen
Theocratic	Ancient Greeks	Herodotus	The Histories
Theocratic	Ancient Greeks	Thucydides	The Peloponnesian Wars
Theocratic	Ancient Greeks	Plato	Dialogues
Theocratic	Ancient Greeks	Aristotle	Poetics
Theocratic	Ancient Greeks	Aristotle	Ethics
Theocratic	Hellenistic Greeks	# <h3>Hellenistic Greeks</h3>
Theocratic	Hellenistic Greeks	Menander	The Girl from Samos
Theocratic	Hellenistic Greeks	Longinus	On the Sublime
Theocratic	Hellenistic Greeks	Callimachus	Hymns
Theocratic	Hellenistic Greeks	Callimachus	Epigrams
Theocratic	Hellenistic Greeks	Theocritus	Idylls
Theocratic	Hellenistic Greeks	Plutarch	Lives
Theocratic	Hellenistic Greeks	Plutarch	Moralia
Theocratic	Hellenistic Greeks	Aesop	Fables
Theocratic	Hellenistic Greeks	Lucian	Satires
Theocratic	Hellenistic Greeks	# <h3>The Romans</h3>
Theocratic	Hellenistic Greeks	Plautus	Pseudolus
Theocratic	Hellenistic Greeks	Plautus	The Braggart Soldier
Theocratic	Hellenistic Greeks	Plautus	The Rope
Theocratic	Hellenistic Greeks	Plautus	Amphitryon
Theocratic	Hellenistic Greeks	Terence	The Girl from Andros
Theocratic	Hellenistic Greeks	Terence	The Eunuch
Theocratic	Hellenistic Greeks	Terence	The Mother-in-Law
Theocratic	Hellenistic Greeks	Lucretius	The Way Things Are
Theocratic	Hellenistic Greeks	Cicero	On the Gods
Theocratic	Hellenistic Greeks	Horace	Odes
Theocratic	Hellenistic Greeks	Horace	Epistles
Theocratic	Hellenistic Greeks	Horace	Satires
Theocratic	Hellenistic Greeks	Persius	Satires
Theocratic	Hellenistic Greeks	Catullus	Attis	Other Poems
Theocratic	Hellenistic Greeks	Virgil	Aeneid
